,Date,Heat,forecast
101,2018-09-22,0.0007164337783048,0.0008498162533542036
102,2018-09-23,0.0007616295718131,0.0006708483793486119
103,2018-09-24,0.3163501537589741,-0.0004893327486959362
104,2018-09-25,0.193569695013599,0.31098097248342593
105,2018-09-26,0.0046729368259749,0.19490578483781532
106,2018-09-27,0.0390052424184735,0.008577640555765225
107,2018-09-28,0.7294752987068639,0.03931072007669309
108,2018-09-29,0.4148121387447241,0.7122063947031423
109,2018-09-30,0.3447387379568561,0.4235612058392497
110,2018-10-01,0.4529848886344312,0.3484737112836739
111,2018-10-02,0.2708866809510366,0.4475024393492069
112,2018-10-03,0.4124947260914824,0.2738258732196497
113,2018-10-04,0.3932976472824901,0.4088034529513225
114,2018-10-05,0.7306668417694994,0.3932008389377455
115,2018-10-06,0.8206142546757614,0.8576472125407285
