,Date,Energy,forecast
115,2018-08-23,0.0,-7.851917582780712e-17
116,2018-08-24,0.0,-8.915704554886717e-17
117,2018-08-25,0.0,-1.0453265741086997e-16
118,2018-08-26,0.0,4.069659768279952e-16
119,2018-08-27,0.0,-1.4509413871055848e-16
120,2018-08-28,0.0,-1.9803863860004815e-16
121,2018-08-29,0.0,1.740093778966494e-16
122,2018-08-30,0.0,-1.5374881084995202e-16
123,2018-08-31,0.0,-1.8838619663364281e-16
124,2018-09-01,0.0,6.530352749214427e-16
125,2018-09-02,0.0,-3.7965046284351696e-16
126,2018-09-03,0.0,3.3849583737360746e-17
127,2018-09-04,0.0,-2.707505895349382e-18
128,2018-09-05,0.0,5.601388188188854e-19
129,2018-09-06,0.0,-1.4702409014736513e-30
130,2018-09-07,0.0,1.1004252971749239e-31
131,2018-09-08,0.0,1.3488975939565605e-30
132,2018-09-09,0.0,-8.202260515102506e-31
133,2018-09-10,0.0,-2.4703148114801505e-32
134,2018-09-11,0.0,1.170469855345951e-30
135,2018-09-12,0.0,-2.3425189726231006e-30
136,2018-09-13,0.0,6.928143384948613e-31
137,2018-09-14,0.0,1.1188634518417673e-30
138,2018-09-15,0.0,-6.020034712557565e-31
139,2018-09-16,0.0,4.5703722421305413e-32
140,2018-09-17,0.0,8.836455943795936e-33
141,2018-09-18,0.0,3.0377273070357145e-32
142,2018-09-19,0.0,-4.2307806453589777e-32
143,2018-09-20,0.0,1.0174779366379824e-33
144,2018-09-21,0.0,1.5158256049807827e-32
145,2018-09-22,0.0,-2.6220958972248344e-32
146,2018-09-23,140.81458333333333,1.8922173596922173e-32
147,2018-09-24,330.3569444444444,161.19026792757944
148,2018-09-25,365.1625,357.7834498299323
149,2018-09-26,245.1513888888889,370.19882455213485
150,2018-09-27,29.2375,227.7859379921054
151,2018-09-28,9.76388888888889,-2.004942559135383
152,2018-09-29,339.81041666666664,6.946084752984778
153,2018-09-30,393.6430555555556,387.5677043361335
154,2018-10-01,313.40763888888887,401.43257557061696
155,2018-10-02,336.78125,301.7977000121216
156,2018-10-03,351.9868055555556,340.1633772061053
157,2018-10-04,35.068797776233495,354.187040941905
158,2018-10-05,8.971527777777778,56.30760116777408
159,2018-10-06,141.5090277777778,85.8011051343318
160,2018-10-07,116.62986111111113,164.2030565327564
161,2018-10-08,101.27847222222222,53.446323971112626
162,2018-10-09,113.41875,4.451282051774882
163,2018-10-10,61.386805555555554,120.7831301852847
164,2018-10-11,18.819444444444443,212.46358213052523
165,2018-10-12,9.481944444444444,15.554840579705001
166,2018-10-13,161.44375,-33.8119618709738
167,2018-10-14,149.48472222222222,200.10164847913936
168,2018-10-15,185.37291666666667,153.3879927469691
169,2018-10-16,79.55455177206393,38.50999915784877
170,2018-10-17,92.8875,147.37651785329126
171,2018-10-18,55.12083333333333,248.3294124314919
172,2018-10-19,8.88263888888889,32.52638422997816
173,2018-10-20,271.40694444444443,-68.87125115708638
174,2018-10-21,367.7763888888889,212.2944097244531
175,2018-10-22,471.3854166666667,362.25244312398
